,rank,name,imdb_stub_link,imdb_full_link
77,778.,Anna Faris,/name/nm0267506,https://www.imdb.com/name/nm0267506
78,779.,Hattie McDaniel,/name/nm0567408,https://www.imdb.com/name/nm0567408
79,780.,Famke Janssen,/name/nm0000463,https://www.imdb.com/name/nm0000463
80,781.,Rosamund Pike,/name/nm0683253,https://www.imdb.com/name/nm0683253
81,782.,Bonnie Hunt,/name/nm0001372,https://www.imdb.com/name/nm0001372
82,783.,Leslie Mann,/name/nm0005182,https://www.imdb.com/name/nm0005182
83,784.,Mindy Kaling,/name/nm1411676,https://www.imdb.com/name/nm1411676
84,785.,Thandiwe Newton,/name/nm0628601,https://www.imdb.com/name/nm0628601
85,786.,Amy Poehler,/name/nm0688132,https://www.imdb.com/name/nm0688132
86,787.,Amanda Peet,/name/nm0001605,https://www.imdb.com/name/nm0001605
87,788.,Julia Stiles,/name/nm0005466,https://www.imdb.com/name/nm0005466
88,789.,Maria Bello,/name/nm0004742,https://www.imdb.com/name/nm0004742
89,790.,Eva Mendes,/name/nm0578949,https://www.imdb.com/name/nm0578949
90,791.,Emily Blunt,/name/nm1289434,https://www.imdb.com/name/nm1289434
91,792.,Rose Byrne,/name/nm0126284,https://www.imdb.com/name/nm0126284
92,793.,Ashley Judd,/name/nm0000171,https://www.imdb.com/name/nm0000171
93,794.,Emilia Clarke,/name/nm3592338,https://www.imdb.com/name/nm3592338
94,795.,Christina Applegate,/name/nm0000775,https://www.imdb.com/name/nm0000775
95,796.,Nia Long,/name/nm0000505,https://www.imdb.com/name/nm0000505
96,797.,Felicity Jones,/name/nm0428065,https://www.imdb.com/name/nm0428065
97,798.,Téa Leoni,/name/nm0000495,https://www.imdb.com/name/nm0000495
98,799.,Alexandra Daddario,/name/nm1275259,https://www.imdb.com/name/nm1275259
99,800.,Jena Malone,/name/nm0540441,https://www.imdb.com/name/nm0540441
0,801.,Richard Gere,/name/nm0000152,https://www.imdb.com/name/nm0000152
1,802.,Nick Frost,/name/nm0296545,https://www.imdb.com/name/nm0296545
2,803.,Ray Liotta,/name/nm0000501,https://www.imdb.com/name/nm0000501
3,804.,Chris Rock,/name/nm0001674,https://www.imdb.com/name/nm0001674
4,805.,Jon Hamm,/name/nm0358316,https://www.imdb.com/name/nm0358316
5,806.,Neil Patrick Harris,/name/nm0000439,https://www.imdb.com/name/nm0000439
6,807.,Charlie Sheen,/name/nm0000221,https://www.imdb.com/name/nm0000221
7,808.,Mark Rylance,/name/nm0753314,https://www.imdb.com/name/nm0753314
8,809.,Andy Garcia,/name/nm0000412,https://www.imdb.com/name/nm0000412
9,810.,Michael Lerner,/name/nm0503627,https://www.imdb.com/name/nm0503627
10,811.,Graham Greene,/name/nm0001295,https://www.imdb.com/name/nm0001295
11,812.,Bruce Davison,/name/nm0001117,https://www.imdb.com/name/nm0001117
12,813.,Dan Aykroyd,/name/nm0000101,https://www.imdb.com/name/nm0000101
13,814.,Danny Aiello,/name/nm0000732,https://www.imdb.com/name/nm0000732
14,815.,River Phoenix,/name/nm0000203,https://www.imdb.com/name/nm0000203
15,816.,Dean Stockwell,/name/nm0001777,https://www.imdb.com/name/nm0001777
16,817.,Billy Crystal,/name/nm0000345,https://www.imdb.com/name/nm0000345
17,818.,John Goodman,/name/nm0000422,https://www.imdb.com/name/nm0000422
18,819.,Orlando Bloom,/name/nm0089217,https://www.imdb.com/name/nm0089217
19,820.,Stellan Skarsgård,/name/nm0001745,https://www.imdb.com/name/nm0001745
20,821.,Alexander Skarsgård,/name/nm0002907,https://www.imdb.com/name/nm0002907
21,822.,Mike Myers,/name/nm0000196,https://www.imdb.com/name/nm0000196
22,823.,Tyrese Gibson,/name/nm0879085,https://www.imdb.com/name/nm0879085
23,824.,Elijah Wood,/name/nm0000704,https://www.imdb.com/name/nm0000704
24,825.,Danny DeVito,/name/nm0000362,https://www.imdb.com/name/nm0000362
25,826.,Susan Hayward,/name/nm0001333,https://www.imdb.com/name/nm0001333
26,827.,Michelle Rodriguez,/name/nm0735442,https://www.imdb.com/name/nm0735442
27,828.,Sarah Michelle Gellar,/name/nm0001264,https://www.imdb.com/name/nm0001264
28,829.,Sandra Oh,/name/nm0644897,https://www.imdb.com/name/nm0644897
29,830.,Margot Kidder,/name/nm0452288,https://www.imdb.com/name/nm0452288
30,831.,Beyoncé,/name/nm0461498,https://www.imdb.com/name/nm0461498
31,832.,Rebecca Hall,/name/nm0356017,https://www.imdb.com/name/nm0356017
32,833.,Piper Perabo,/name/nm0005305,https://www.imdb.com/name/nm0005305
33,834.,Courteney Cox,/name/nm0001073,https://www.imdb.com/name/nm0001073
34,835.,Parker Posey,/name/nm0000205,https://www.imdb.com/name/nm0000205
35,836.,Paula Patton,/name/nm1745736,https://www.imdb.com/name/nm1745736
36,837.,Michelle Monaghan,/name/nm1157358,https://www.imdb.com/name/nm1157358
