,Unnamed: 0,rank,name,imdb_stub_link,imdb_full_link,wikipedia_url
545,45,546.,Noomi Rapace,/name/nm0636426,https://www.imdb.com/name/nm0636426,https://en.wikipedia.org/wiki/Noomi_Rapace
546,46,547.,Blake Lively,/name/nm0515116,https://www.imdb.com/name/nm0515116,https://en.wikipedia.org/wiki/Blake_Lively
547,47,548.,Maggie Grace,/name/nm1192254,https://www.imdb.com/name/nm1192254,https://en.wikipedia.org/wiki/Maggie_Grace
548,48,549.,Jessica Biel,/name/nm0004754,https://www.imdb.com/name/nm0004754,https://en.wikipedia.org/wiki/Jessica_Biel
549,49,550.,Eva Green,/name/nm1200692,https://www.imdb.com/name/nm1200692,https://en.wikipedia.org/wiki/Eva_Green
550,50,551.,Peter Fonda,/name/nm0001228,https://www.imdb.com/name/nm0001228,https://en.wikipedia.org/wiki/Peter_Fonda
551,51,552.,Woody Harrelson,/name/nm0000437,https://www.imdb.com/name/nm0000437,https://en.wikipedia.org/wiki/Woody_Harrelson
552,52,553.,Billy Bob Thornton,/name/nm0000671,https://www.imdb.com/name/nm0000671,https://en.wikipedia.org/wiki/Billy_Bob_Thornton
553,53,554.,Idris Elba,/name/nm0252961,https://www.imdb.com/name/nm0252961,https://en.wikipedia.org/wiki/Idris_Elba
554,54,555.,Nigel Hawthorne,/name/nm0001329,https://www.imdb.com/name/nm0001329,https://en.wikipedia.org/wiki/Nigel_Hawthorne
555,55,556.,Laurence Fishburne,/name/nm0000401,https://www.imdb.com/name/nm0000401,https://en.wikipedia.org/wiki/Laurence_Fishburne
556,56,557.,Stephen Rea,/name/nm0001653,https://www.imdb.com/name/nm0001653,https://en.wikipedia.org/wiki/Stephen_Rea
557,57,558.,Warren Beatty,/name/nm0000886,https://www.imdb.com/name/nm0000886,https://en.wikipedia.org/wiki/Warren_Beatty
558,58,559.,Richard Harris,/name/nm0001321,https://www.imdb.com/name/nm0001321,https://en.wikipedia.org/wiki/Richard_Harris
559,59,560.,John Cusack,/name/nm0000131,https://www.imdb.com/name/nm0000131,https://en.wikipedia.org/wiki/John_Cusack
560,60,561.,Kenneth Branagh,/name/nm0000110,https://www.imdb.com/name/nm0000110,https://en.wikipedia.org/wiki/Kenneth_Branagh
561,61,562.,Edward James Olmos,/name/nm0001579,https://www.imdb.com/name/nm0001579,https://en.wikipedia.org/wiki/Edward_James_Olmos
562,62,563.,Max von Sydow,/name/nm0001884,https://www.imdb.com/name/nm0001884,https://en.wikipedia.org/wiki/Max_von_Sydow
563,63,564.,Bruce Dern,/name/nm0001136,https://www.imdb.com/name/nm0001136,https://en.wikipedia.org/wiki/Bruce_Dern
564,64,565.,Bob Hoskins,/name/nm0001364,https://www.imdb.com/name/nm0001364,https://en.wikipedia.org/wiki/Bob_Hoskins
565,65,566.,James Woods,/name/nm0000249,https://www.imdb.com/name/nm0000249,https://en.wikipedia.org/wiki/James_Woods
566,66,567.,John Hawkes,/name/nm0370035,https://www.imdb.com/name/nm0370035,https://en.wikipedia.org/wiki/John_Hawkes
567,67,568.,James Garner,/name/nm0001258,https://www.imdb.com/name/nm0001258,https://en.wikipedia.org/wiki/James_Garner
568,68,569.,Sam Waterston,/name/nm0001832,https://www.imdb.com/name/nm0001832,https://en.wikipedia.org/wiki/Sam_Waterston
569,69,570.,Tom Hulce,/name/nm0001371,https://www.imdb.com/name/nm0001371,https://en.wikipedia.org/wiki/Tom_Hulce
